id,title,category,description,image_url,link,posted
1MoJcye0TH-X8JnZNFJlk-101A4iuqWS7,גיאומטריה של צבעים,טבע דומם,צורות גיאומטריות צבעוניות עם חלונות עגולים כחולים,https://drive.google.com/thumbnail?id=1MoJcye0TH-X8JnZNFJlk-101A4iuqWS7&sz=w600,https://amitphotos.com,FALSE
11AnFgtB5Ch-asooNb6dVFPdOdvZ6C0y_,אורות ארכיטקטוניים,טבע דומם,תקרה מואורת בתבנית גיאומטרית של קווים כתומים ולבנים,https://drive.google.com/thumbnail?id=11AnFgtB5Ch-asooNb6dVFPdOdvZ6C0y_&sz=w600,https://amitphotos.com,FALSE
1cqtkYy8vr20KSAuajsQ1Ppirv7YBchPv,סוכריות ורודות,טבע דומם,,https://drive.google.com/thumbnail?id=1cqtkYy8vr20KSAuajsQ1Ppirv7YBchPv&sz=w600,https://amitphotos.com,FALSE
1Vp_xpnwXpsi_ocqwMEshnoPIza5FpRZ5,פנינים זהב וכסף,טבע דומם,,https://drive.google.com/thumbnail?id=1Vp_xpnwXpsi_ocqwMEshnoPIza5FpRZ5&sz=w600,https://amitphotos.com,FALSE
1DhDoQ_nfrWXjGVeXaUDQRym9w52kN77w,תולעי סוכר צבעוניות,טבע דומם,,https://drive.google.com/thumbnail?id=1DhDoQ_nfrWXjGVeXaUDQRym9w52kN77w&sz=w600,https://amitphotos.com,FALSE
1oukcNbPlg4Y9dXqgxGkP7zMXE4roZAyj,סחלבים אדומים,טבע דומם,,https://drive.google.com/thumbnail?id=1oukcNbPlg4Y9dXqgxGkP7zMXE4roZAyj&sz=w600,https://amitphotos.com,FALSE
1GOdKAxmW8Xev5kcjZR3pCF4_GW7owLxU,גלגלי צבע,טבע דומם,,https://drive.google.com/thumbnail?id=1GOdKAxmW8Xev5kcjZR3pCF4_GW7owLxU&sz=w600,https://amitphotos.com,FALSE
1EZ-2jnCDVgVLuykryr3OjWlw2aPt4GuG,מטבעות שוקולד,טבע דומם,,https://drive.google.com/thumbnail?id=1EZ-2jnCDVgVLuykryr3OjWlw2aPt4GuG&sz=w600,https://amitphotos.com,FALSE
1DQKZ5yTcOFnXw8nqpPz1RMQ8u0DZ-pG5,קיר האהבה,טבע דומם,,https://drive.google.com/thumbnail?id=1DQKZ5yTcOFnXw8nqpPz1RMQ8u0DZ-pG5&sz=w600,https://amitphotos.com,FALSE
1up7HPt-rgyqJVYem3vPbShJePescnCZc,טextiles צבעוניים תלויים,טבע דומם,אוסף של בדים וטextiles בעיצובים מסורתיים בצבעים חמים,https://drive.google.com/thumbnail?id=1up7HPt-rgyqJVYem3vPbShJePescnCZc&sz=w600,https://amitphotos.com,FALSE
1d8LFk1t2KZRu2o8VmgJxszQCFPbEW-lg,שדה פרחים בשפע,ישראל,שדה רחב מלא פרחים צהובים עם שביל מפתל בין עצים,https://drive.google.com/thumbnail?id=1d8LFk1t2KZRu2o8VmgJxszQCFPbEW-lg&sz=w600,https://amitphotos.com,FALSE
1MYPjGXaSH8bE9-RpJr8X0ZX8gEDKq2K6,טורבינת רוח בנוף ישראלי,ישראל,טורבינת רוח יחידה על רקע נוף ירוק וההרים הרחוקים,https://drive.google.com/thumbnail?id=1MYPjGXaSH8bE9-RpJr8X0ZX8gEDKq2K6&sz=w600,https://amitphotos.com,FALSE
1OZKg38_Q0BLEzqhDGCLVP2r0yHSPXW2P,ירוק,ישראל,,https://drive.google.com/thumbnail?id=1OZKg38_Q0BLEzqhDGCLVP2r0yHSPXW2P&sz=w600,https://amitphotos.com,FALSE
1bjUIgbamO_clsQDgrMHU8QDAfNA1mXuD,אור בוקר,ישראל,,https://drive.google.com/thumbnail?id=1bjUIgbamO_clsQDgrMHU8QDAfNA1mXuD&sz=w600,https://amitphotos.com,FALSE
15DHem8sAK2c9pkuXzPd03rP34-UnHe3M,שקט בשדה לבנדר,ישראל,,https://drive.google.com/thumbnail?id=15DHem8sAK2c9pkuXzPd03rP34-UnHe3M&sz=w600,https://amitphotos.com,FALSE
19T9mcLvqy-4zoP-pdkFFgImvFeJM8co1,רשת של חיבורים,ישראל,דמות אדם תלויה ברשת קוים גיאומטרית על רקע שמיים כחולים,https://drive.google.com/thumbnail?id=19T9mcLvqy-4zoP-pdkFFgImvFeJM8co1&sz=w600,https://amitphotos.com,FALSE
1M0MNq47h_rck94IU0GlqlX9yIA5_6MMe,שדה בזריחה,ישראל,דרך עפר בשדה חקלאי עם שמש זורחת על האופק,https://drive.google.com/thumbnail?id=1M0MNq47h_rck94IU0GlqlX9yIA5_6MMe&sz=w600,https://amitphotos.com,FALSE
1Ky7uRmF5GurOE5OH_vtk-u_0iSWxcfQu,מגדל ארגזים בנגב,ישראל,מבנה אמנותי מארגזים עץ בשדה קרוב בנוף ישראלי,https://drive.google.com/thumbnail?id=1Ky7uRmF5GurOE5OH_vtk-u_0iSWxcfQu&sz=w600,https://amitphotos.com,FALSE
1wE6dcdkaciBGBWTqztbGuQTSdJRr_Mw1,מגדל דוד בלילה,ישראל,מגדל דוד ובחומות ירושלים בתאורת ערב עם עקבות אור של תנועה,https://drive.google.com/thumbnail?id=1wE6dcdkaciBGBWTqztbGuQTSdJRr_Mw1&sz=w600,https://amitphotos.com,FALSE
1CUMXBEV1qLilGxw0eMMi_G5S3XuUrUeB,בית נטוש בשדה,ישראל,,https://drive.google.com/thumbnail?id=1CUMXBEV1qLilGxw0eMMi_G5S3XuUrUeB&sz=w600,https://amitphotos.com,FALSE
1XEuYM78FLDe1J3r8kFbHQbjRB_BssErN,נוף ים המלח מהמצפה,ישראל,נוף פנורמי של ים המלח מנקודת צפייה גבוהה בערפילי חום,https://drive.google.com/thumbnail?id=1XEuYM78FLDe1J3r8kFbHQbjRB_BssErN&sz=w600,https://amitphotos.com,FALSE
1KDUlqmuPI2047DDStVYUdXNvbcbn1lB-,נוף ים המלח מהמצודה,ישראל,מבט על ים המלח והערבה דרך חלון אבן עתיק בצוק הר סדום,https://drive.google.com/thumbnail?id=1KDUlqmuPI2047DDStVYUdXNvbcbn1lB-&sz=w600,https://amitphotos.com,FALSE
1m6IFLTq0pfpdgENTItciXddOOGIOUzt2,שדה חיטה בעמק יזרעאל,ישראל,שדה חיטה זהוב בשעת הקציר עם הרים ברקע בזריחה,https://drive.google.com/thumbnail?id=1m6IFLTq0pfpdgENTItciXddOOGIOUzt2&sz=w600,https://amitphotos.com,FALSE
1RwVJCbbNJAk-JUZI087Gm9kpMBM6fnJr,תחנת אוטובוס בשדה,ישראל,תא המתנה ירוק בודד על רקע שדות צהובים וירוקים רחבים,https://drive.google.com/thumbnail?id=1RwVJCbbNJAk-JUZI087Gm9kpMBM6fnJr&sz=w600,https://amitphotos.com,FALSE
1UEHatC39tA67plADlcepZ4giuxRKRcfk,נוף טבע בישראל מבט פנורמי,ישראל,,https://drive.google.com/thumbnail?id=1UEHatC39tA67plADlcepZ4giuxRKRcfk&sz=w600,https://amitphotos.com,FALSE
1IBAfg_OCYwqil4w957gA-b0ferLS1_5G,שדה תירס בעמק הישראלי,ישראל,שדה תירס שופע בירוקות מול הרים וב עדשת תצפית רחבה,https://drive.google.com/thumbnail?id=1IBAfg_OCYwqil4w957gA-b0ferLS1_5G&sz=w600,https://amitphotos.com,FALSE
1G6p9VgAqYn0G48z3vOQsMl_nPib5HyF8,פרדס בחורף,ישראל,,https://drive.google.com/thumbnail?id=1G6p9VgAqYn0G48z3vOQsMl_nPib5HyF8&sz=w600,https://amitphotos.com,FALSE
1Lt5WDWOxYerwcxNF3ZwLUET-9_tA7Q4b,בריכת הטיט של הים המלח,ישראל,בריכת טיט טבעית על חוף הים המלח בישראל,https://drive.google.com/thumbnail?id=1Lt5WDWOxYerwcxNF3ZwLUET-9_tA7Q4b&sz=w600,https://amitphotos.com,FALSE
1oyNjIb0iUVnfCah6IAjgFnDCZGKtq7gA,שקט של מים,ישראל,נוף מינימליסטי של אגם שקט עם שמיים맑은 כחולים,https://drive.google.com/thumbnail?id=1oyNjIb0iUVnfCah6IAjgFnDCZGKtq7gA&sz=w600,https://amitphotos.com,FALSE
1rroI9xJY7BrYpb0QDM3rf9LmAuMTujlj,חלון לים,ישראל,נוף ים וחוף דרך צינור בטון על החוף,https://drive.google.com/thumbnail?id=1rroI9xJY7BrYpb0QDM3rf9LmAuMTujlj&sz=w600,https://amitphotos.com,FALSE
18l1NkO-12l3fgP6JEMu6p1oL3RSBixX8,הים התיכון הזוהר,ישראל,סלעים עתיקים על החוף עם נוף הרים וסירות דיג רחוק,https://drive.google.com/thumbnail?id=18l1NkO-12l3fgP6JEMu6p1oL3RSBixX8&sz=w600,https://amitphotos.com,FALSE
14vthzIuM_Gi0Bl5IsQbogDajHKad6B1r,שקט על שפת הים,ישראל,שתי כיסאות לבנים על החוף מול נוף הרים עד אופק הים,https://drive.google.com/thumbnail?id=14vthzIuM_Gi0Bl5IsQbogDajHKad6B1r&sz=w600,https://amitphotos.com,FALSE
1n7ml6jRSlfDWtrILiPi8oqevBQtelUoG,שקט של שקיעה בים,ישראל,כיסאות חלומיים על חוף שלו עם הרים מרוחקים בשקיעה סגולה,https://drive.google.com/thumbnail?id=1n7ml6jRSlfDWtrILiPi8oqevBQtelUoG&sz=w600,https://amitphotos.com,FALSE
18yuQlOZTp7sf-JjpfCBVCRItafDJSuG0,שקיעה סגולה על הים,ישראל,חוף שקט עם השתקפות סגולות של שקיעה יפה על מי הים,https://drive.google.com/thumbnail?id=18yuQlOZTp7sf-JjpfCBVCRItafDJSuG0&sz=w600,https://amitphotos.com,FALSE
1nLh9i-XaerEFjja5UUD3KfZgg1jRPv5J,שחפים בערפל,ישראל,,https://drive.google.com/thumbnail?id=1nLh9i-XaerEFjja5UUD3KfZgg1jRPv5J&sz=w600,https://amitphotos.com,FALSE
1bZhip7_LBDGQWL6KwGfzPP9vMMaK_I0_,הנדידה של העגורנים,ישראל,עדר ענק של עגורנים נוחתים בשדה ישראלי בעת הנדידה השנתית,https://drive.google.com/thumbnail?id=1bZhip7_LBDGQWL6KwGfzPP9vMMaK_I0_&sz=w600,https://amitphotos.com,FALSE
1YIY2z5GedI2Av8vuozdyUP38CyedES4B,עגורים בטיסה,ישראל,זוג עגורים עפים בשמיים צלולים מעל הנוף,https://drive.google.com/thumbnail?id=1YIY2z5GedI2Av8vuozdyUP38CyedES4B&sz=w600,https://amitphotos.com,FALSE
1_GPklSlYpaxTmLnu7bArKoDZSUDaNgfR,שקיעה על חופי סלע,ישראל,שקיעה מעוצבת על חוף סלעי עם גלים חלקים וציפורים בשמיים,https://drive.google.com/thumbnail?id=1_GPklSlYpaxTmLnu7bArKoDZSUDaNgfR&sz=w600,https://amitphotos.com,FALSE
16hKNONU3uhqCUBBG2VS0oIK_KqWP3lP6,גלים על הסלע,ישראל,גלי ים מקציפים מתנגשים בסלעי החוף בתנועה מתמשכת,https://drive.google.com/thumbnail?id=16hKNONU3uhqCUBBG2VS0oIK_KqWP3lP6&sz=w600,https://amitphotos.com,FALSE
1M5kXPLpXu6PfoGkfd4JdW6Id1faF0dKA,כנסייה עם כיפה כחולה בסנטוריני,ישראל,,https://drive.google.com/thumbnail?id=1M5kXPLpXu6PfoGkfd4JdW6Id1faF0dKA&sz=w600,https://amitphotos.com,FALSE
1P0_tbOufdRIALyGsCnhBXKN4D_C_m8rh,שקיעה על החופים,ישראל,שקיעה זהובה על חופי סלע עם גלים שוקעים בכחול השקט,https://drive.google.com/thumbnail?id=1P0_tbOufdRIALyGsCnhBXKN4D_C_m8rh&sz=w600,https://amitphotos.com,FALSE
1H1XNPcnpmQmlyM8aaqFG8cK5DFZFNVlt,חלון אל הים,ישראל,נוף ימי דרך חור בסלע עתיק על החוף,https://drive.google.com/thumbnail?id=1H1XNPcnpmQmlyM8aaqFG8cK5DFZFNVlt&sz=w600,https://amitphotos.com,FALSE
1gQiDx1lCA3I00hm980ZTHnAWb3GjnC-d,הר החרמון בשלג,ישראל,"הר החרמון המושלג בעונת החורף, נראה מנוף תחומי בישראל",https://drive.google.com/thumbnail?id=1gQiDx1lCA3I00hm980ZTHnAWb3GjnC-d&sz=w600,https://amitphotos.com,FALSE
1kiRdVJO2wVz5LF1BsCwxg9I23GeQX85E,דיג בשקיעה על הסלע,ישראל,דייגים על סלע בחוף הים בשקיעה זהובה עם אנשים בים,https://drive.google.com/thumbnail?id=1kiRdVJO2wVz5LF1BsCwxg9I23GeQX85E&sz=w600,https://amitphotos.com,FALSE
1Rwx9jKcw9RERPNi2Rf1PdXuRbGrDIHXC,שקיעה על ים סוף,ישראל,כסאות חוף לבנים על חוף ים סוף בזריחה ורודה,https://drive.google.com/thumbnail?id=1Rwx9jKcw9RERPNi2Rf1PdXuRbGrDIHXC&sz=w600,https://amitphotos.com,FALSE
1LLJ3g6rQlEhnQ_nTZhcyWrWifVa3XKgt,שקיעה על הסלעים,ישראל,שקיעה אדומה מעל חוף סלעוני עם הים השקט במרחק,https://drive.google.com/thumbnail?id=1LLJ3g6rQlEhnQ_nTZhcyWrWifVa3XKgt&sz=w600,https://amitphotos.com,FALSE
1STznCFeJOu31QkoqVMHTm7i_cXvevzro,אמנות רחוב עם עין,ישראל,ציור גרافיטי צבעוני של עין גדולה על קיר עם קרחון,https://drive.google.com/thumbnail?id=1STznCFeJOu31QkoqVMHTm7i_cXvevzro&sz=w600,https://amitphotos.com,FALSE
1Yrm9Ix9wGU-h70l7GadHkAFOfHTRM8M2,פרפר שועל על קוץ,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1Yrm9Ix9wGU-h70l7GadHkAFOfHTRM8M2&sz=w600,https://amitphotos.com,FALSE
1qAYmV4wg-5I8isvUTrP1kZnT1leAHkvA,ורד ורוד עדין,מאקרו-צילומי תקריב,תצלום מקרוב של ורד ורוד בפריחה מלאה עם עלים משופעים,https://drive.google.com/thumbnail?id=1qAYmV4wg-5I8isvUTrP1kZnT1leAHkvA&sz=w600,https://amitphotos.com,FALSE
1_OgIaYrGEs5a2CWXgIw-1dQSGGoSsgKz,דבורה לעבר פרח אירוס,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1_OgIaYrGEs5a2CWXgIw-1dQSGGoSsgKz&sz=w600,https://amitphotos.com,FALSE
1goFHFB1TSGwfiXwOFzG_QKdzboq7wueQ,זוג שפיריות מזדווגות,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1goFHFB1TSGwfiXwOFzG_QKdzboq7wueQ&sz=w600,https://amitphotos.com,FALSE
1JEHgCiemUvp3zHUxNiXtxnsA9r6-aV9G,שפיריות בזיווג על ענף,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1JEHgCiemUvp3zHUxNiXtxnsA9r6-aV9G&sz=w600,https://amitphotos.com,FALSE
1SNmXBUg7djQB4jgKPDFHu7SXlgjP3krj,שפיריות מזדווגות בנוף,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1SNmXBUg7djQB4jgKPDFHu7SXlgjP3krj&sz=w600,https://amitphotos.com,FALSE
1sFRvwHnpOODK4KEkEaJCsHNZGl35oBrA,פרפר ציר מצוי על פרח ורוד,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1sFRvwHnpOODK4KEkEaJCsHNZGl35oBrA&sz=w600,https://amitphotos.com,FALSE
1qN86Ph1fZkA4zbFRKqMHzuk_Nkrh3Ovm,פרפר ציר — מבט מהצד,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1qN86Ph1fZkA4zbFRKqMHzuk_Nkrh3Ovm&sz=w600,https://amitphotos.com,FALSE
1KfM1ZQss1JmKtQjbk2_-Rfak_FI_g4p5,פרפר ציר על פרח כתום,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1KfM1ZQss1JmKtQjbk2_-Rfak_FI_g4p5&sz=w600,https://amitphotos.com,FALSE
1B1OIi_niEjTde-YsqN9yu4hb2Oang76t,פרפר קטן על ציניה ורודה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1B1OIi_niEjTde-YsqN9yu4hb2Oang76t&sz=w600,https://amitphotos.com,FALSE
1jM6WxSM-WFWihhnhgqURVJAyhVsS62rH,פרפר על פרח — רקע כהה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1jM6WxSM-WFWihhnhgqURVJAyhVsS62rH&sz=w600,https://amitphotos.com,FALSE
10rE-_ZJqqxcpfrcIDulapy2WIk_ZbPLQ,שבלול זעיר על קצה עלה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=10rE-_ZJqqxcpfrcIDulapy2WIk_ZbPLQ&sz=w600,https://amitphotos.com,FALSE
15Lr-mM2Y0Bkzd7r_YcOXxghEjLOJM3dA,פרת משה רבנו על צמח,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=15Lr-mM2Y0Bkzd7r_YcOXxghEjLOJM3dA&sz=w600,https://amitphotos.com,FALSE
1GjwX2sGR2KDTdK8nFPRoJnpTlVAH9-JK,עלה בשינוי עונות,מאקרו-צילומי תקריב,תקריב של עלה בתהליך שינוי צבע מירוק ליוקרתי,https://drive.google.com/thumbnail?id=1GjwX2sGR2KDTdK8nFPRoJnpTlVAH9-JK&sz=w600,https://amitphotos.com,FALSE
1EyqJyuAVzyIdqtd3zToyDsPN3pcN9MwA,עלים בשינוי עונתי,מאקרו-צילומי תקריב,תקריב של עלים צהובים וכתומים בתהליך שינוי צבע הסתווי,https://drive.google.com/thumbnail?id=1EyqJyuAVzyIdqtd3zToyDsPN3pcN9MwA&sz=w600,https://amitphotos.com,FALSE
16Scx1OhcvEY-JkM7g4barZWZAf0uugXl,פרפר כחול על פרח צהוב,מאקרו-צילומי תקריב,פרפר כחול עם שוליים לבנים מונח על květר צהוב זעיר,https://drive.google.com/thumbnail?id=16Scx1OhcvEY-JkM7g4barZWZAf0uugXl&sz=w600,https://amitphotos.com,FALSE
1-oLwxYgYjKDWNeIzJPsVbIPjhBOGT70I,שפירית אדומה על מקל,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1-oLwxYgYjKDWNeIzJPsVbIPjhBOGT70I&sz=w600,https://amitphotos.com,FALSE
1YNcAYWbn10SGtWab0Ei0lo3jFiFsQ6wZ,חיפושית מתכתית ירוקה על עלה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1YNcAYWbn10SGtWab0Ei0lo3jFiFsQ6wZ&sz=w600,https://amitphotos.com,FALSE
1u99GC6e2o2WTuvvNQEgIEChBKwIeKmlI,זבוב טורף עם טרף,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1u99GC6e2o2WTuvvNQEgIEChBKwIeKmlI&sz=w600,https://amitphotos.com,FALSE
1mghtHqO8attO4O_zEveQ7-67qxPc6QyE,bugs on flowers and plants,מאקרו-צילומי תקריב,bugs on flowers and plants,https://drive.google.com/thumbnail?id=1mghtHqO8attO4O_zEveQ7-67qxPc6QyE&sz=w600,https://amitphotos.com,FALSE
1YgAewuWweRkbHoaesOM02fVfHzGaeqWt,bugs on flowers and plants,מאקרו-צילומי תקריב,bugs on flowers and plants,https://drive.google.com/thumbnail?id=1YgAewuWweRkbHoaesOM02fVfHzGaeqWt&sz=w600,https://amitphotos.com,FALSE
1xm2G91H4wwei6drJdQ0CliJzi2oWWnlZ,פשפש אדום-שחור על עלה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1xm2G91H4wwei6drJdQ0CliJzi2oWWnlZ&sz=w600,https://amitphotos.com,FALSE
11cMWzDs5DL_Nwnlw89bJ1sHl1Su78bk9,פרפר לבן על גבעול דשא,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=11cMWzDs5DL_Nwnlw89bJ1sHl1Su78bk9&sz=w600,https://amitphotos.com,FALSE
10rJ6dY9KkGS9pk1tOjo4U-uLaGyGY4HF,דבורה על חמניה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=10rJ6dY9KkGS9pk1tOjo4U-uLaGyGY4HF&sz=w600,https://amitphotos.com,FALSE
1CHad4RIp3K8sApGtZwDEJcM5z1Ay5mEl,פרפר ציר על חמניה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1CHad4RIp3K8sApGtZwDEJcM5z1Ay5mEl&sz=w600,https://amitphotos.com,FALSE
1QQoex9zF408TTs9PG49saKwCXsKIclgA,שבלול על גבעול,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1QQoex9zF408TTs9PG49saKwCXsKIclgA&sz=w600,https://amitphotos.com,FALSE
176UGqCG8j3MmdJ2u7Wp05fETAnQruL3Q,שבלול על קצה עלה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=176UGqCG8j3MmdJ2u7Wp05fETAnQruL3Q&sz=w600,https://amitphotos.com,FALSE
1R5jm4QZChik_NTc1CoZnfNr56FQmz7qI,עכביש על קורה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1R5jm4QZChik_NTc1CoZnfNr56FQmz7qI&sz=w600,https://amitphotos.com,FALSE
1zGIjUE5iH16qUupQ5xGXZBC0Qn9eYlAq,פרפר לבן על מרגנית,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1zGIjUE5iH16qUupQ5xGXZBC0Qn9eYlAq&sz=w600,https://amitphotos.com,FALSE
12j16hqpKwFflypGVYZrvXhFDCH0YgeCT,דבורה מוכסת אבקה על חמניה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=12j16hqpKwFflypGVYZrvXhFDCH0YgeCT&sz=w600,https://amitphotos.com,FALSE
1rNOjwjjmhzbQp32q7byiXHj5UJB0tYgd,פרפר כחול על עלה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1rNOjwjjmhzbQp32q7byiXHj5UJB0tYgd&sz=w600,https://amitphotos.com,FALSE
1uzpLjW0eCjvfwVcaaLAUGmShrA0Y0Lo0,פרפר כתום-שחור על עשב,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1uzpLjW0eCjvfwVcaaLAUGmShrA0Y0Lo0&sz=w600,https://amitphotos.com,FALSE
1-mXFplfs5E1LS9_Ss3T5SpzfVr1VK0Iv,פרפר כחול על צמח,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1-mXFplfs5E1LS9_Ss3T5SpzfVr1VK0Iv&sz=w600,https://amitphotos.com,FALSE
1U1fMS581LcGhLDtWACy8egYhZSDevuzK,עכביש סרטן לבן בתוך פרח,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1U1fMS581LcGhLDtWACy8egYhZSDevuzK&sz=w600,https://amitphotos.com,FALSE
1rszBmosFZprvt4HBLPl6rDYYbcvhjTkx,קורת עכביש עם טיפות טל,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1rszBmosFZprvt4HBLPl6rDYYbcvhjTkx&sz=w600,https://amitphotos.com,FALSE
1pGM9mPLg74SmiXFaEHkwTR-0VQJQMDte,דבורה מתקרבת לחמניה,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=1pGM9mPLg74SmiXFaEHkwTR-0VQJQMDte&sz=w600,https://amitphotos.com,FALSE
1kVMLX7V2GeD-pHr08pSJY_3rKUOh-cXy,עין הזיקית בתקריב,מאקרו-צילומי תקריב,צילום מקרוב של עין זיקית עם קשקשי עור בטונים זהובים וכחולים,https://drive.google.com/thumbnail?id=1kVMLX7V2GeD-pHr08pSJY_3rKUOh-cXy&sz=w600,https://amitphotos.com,FALSE
1T_sZuDJIECAtqscPBtZ1qoi7KECxxmLu,פרחים ורודים בתקריב,מאקרו-צילומי תקריב,"זר פרחים צפוף בגוונים של ורוד, שמנת וזהב בתצילום מאקרו עדין",https://drive.google.com/thumbnail?id=1T_sZuDJIECAtqscPBtZ1qoi7KECxxmLu&sz=w600,https://amitphotos.com,FALSE
12RvFwqLBEYL56rREul7msc4RkgSqixCI,פרפר לבן על פרח צהוב,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=12RvFwqLBEYL56rREul7msc4RkgSqixCI&sz=w600,https://amitphotos.com,FALSE
17mo_iKP7eCZ2FnBRuTt_nryuR9PE6ix2,פשפש מפוספס על פרח צהוב,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=17mo_iKP7eCZ2FnBRuTt_nryuR9PE6ix2&sz=w600,https://amitphotos.com,FALSE
11yoUDllDSHs-Xd2pM0j2XstXAWWNfma1,פשפש מפוספס — מבט קדמי,מאקרו-צילומי תקריב,,https://drive.google.com/thumbnail?id=11yoUDllDSHs-Xd2pM0j2XstXAWWNfma1&sz=w600,https://amitphotos.com,FALSE
